regio3,street,livingSpace,baseRent,totalRent,noRooms,floor,typeOfFlat,yearConstructed
Alt_Hohenschönhausen_Hohenschönhausen,Konrad-Wolf-Str.,69.91,623.0,746.0,2.0,3.0,apartment,1910.0
Mitte,Boyenstra&szlig;e,115.58,1963.16,2309.9,4.0,3.0,apartment,2013.0
Neukölln,Hermannstra&szlig;e,82.17,1199.68,1429.21,3.0,2.0,apartment,1990.0
Staaken_Spandau,Zweiwinkelweg,68.48,490.32,745.23,2.0,2.0,apartment,1969.0
Steglitz,Maulbronner Ufer,90.0,1100.0,1400.0,4.0,1.0,apartment,1996.0
Tiergarten,no_information,216.0,4320.0,5860.0,4.0,8.0,apartment,2003.0
Französisch_Buchholz_Pankow,Cunistra&szlig;e,57.0,577.0,697.0,2.0,2.0,apartment,
Charlottenburg,Eosanderstra&szlig;e,71.0,685.0,894.0,2.0,2.0,apartment,1904.0
Biesdorf_Marzahn,Minskerstr.,95.46,1430.0,1656.88,3.0,5.0,penthouse,2019.0
Mahlsdorf_Hellersdorf,Hultschiner Damm,75.0,822.0,1086.0,3.0,1.0,apartment,2018.0
Prenzlauer_Berg_Prenzlauer_Berg,Nordkapstr.,71.01,1425.0,1600.0,2.0,2.0,apartment,1906.0
Kladow_Spandau,Elsa-Br&auml;ndstr&ouml;m-Weg,75.0,824.0,1069.0,3.0,1.0,maisonette,1986.0
Mitte,no_information,65.94,1813.0,2307.0,2.0,0.0,ground_floor,2018.0
Oberschöneweide_Köpenick,Tabbertstra&szlig;e,66.61,932.54,1132.37,3.0,3.0,apartment,
Lichterfelde_Steglitz,Memlingstr.,33.0,445.6,560.6,1.0,0.0,apartment,1963.0
Spandau,Spandauer Burgwall,83.0,1251.45,1451.45,2.0,0.0,other,2019.0
Prenzlauer_Berg_Prenzlauer_Berg,no_information,81.4,1900.0,2149.0,3.0,4.0,apartment,2019.0
Köpenick,M&uuml;ggelschl&ouml;&szlig;chenweg,52.18,334.63,474.42,2.0,4.0,apartment,1982.0
Tiergarten,Klara Franke Stra&szlig;e,10.0,660.0,710.0,1.0,7.0,apartment,
Mitte,Wilhelmstr.,54.28,1085.6,1384.14,2.0,4.0,terraced_flat,2015.0
Kreuzberg,Sebastianstr.,93.07,1675.26,1935.86,4.0,1.0,,2018.0
Neukölln,Friedelstr.,50.29,714.0,850.0,1.0,2.0,apartment,1904.0
Adlershof_Treptow,no_information,48.5,800.25,1015.0,2.0,1.0,apartment,2017.0
Spandau,Wachenheimer Weg,61.93,512.76,768.9,2.5,2.0,apartment,1939.0
Spandau,Frobenstra&szlig;e,74.0,550.0,670.0,2.5,2.0,apartment,
Mitte,Michaelkirchstra&szlig;e,65.0,1235.0,,3.0,3.0,apartment,2018.0
Wedding,Soldiner Stra&szlig;e,86.31,1079.0,1296.0,2.0,1.0,apartment,
Friedrichshain,scharwebarstrasse,78.0,850.0,1000.0,2.0,5.0,roof_storey,
Lichtenrade_Tempelhof,Pechsteinstra&szlig;e,62.0,750.0,,2.0,1.0,raised_ground_floor,1930.0
Spandau,Pichelsdorfer Str.,58.0,519.0,649.0,2.0,1.0,apartment,1900.0
Marzahn,Ringenwalder Stra&szlig;e,65.0,430.0,642.0,3.0,2.0,apartment,
Charlottenburg,no_information,80.0,1540.0,1740.0,3.0,,,
Charlottenburg,Nu&szlig;baumallee,139.65,1955.1,2374.05,3.0,2.0,,1900.0
Rahnsdorf_Köpenick,Mausohrweg,76.87,821.74,,3.0,2.0,other,2019.0
Prenzlauer_Berg_Prenzlauer_Berg,Schwedterstr.,87.28,1396.48,1694.48,3.0,,raised_ground_floor,1904.0
Tiergarten,Lydia-Rabinowitsch-Stra&szlig;e,80.0,1294.0,1514.0,3.0,,roof_storey,2018.0
Mahlsdorf_Hellersdorf,no_information,93.0,1181.0,1431.0,3.5,2.0,maisonette,2000.0
Mitte,Elisabeth-Mara-Str.,74.0,1140.0,1340.0,2.0,1.0,apartment,2014.0
Mitte,Chausseestra&szlig;e,122.01,2074.17,2386.7,4.0,,penthouse,2017.0
Friedrichshain,Stralauer Allee,97.73,2700.0,3100.0,4.0,4.0,apartment,2018.0
Wedding,B&auml;rbel-Bohley-Ring,24.1,593.0,793.0,1.0,2.0,apartment,2017.0
Hellersdorf,Havell&auml;nder Ring,104.54,749.0,999.0,3.0,1.0,apartment,1985.0
Alt_Hohenschönhausen_Hohenschönhausen,Seefelder Str.,46.0,275.92,403.71,2.0,10.0,apartment,1983.0
Niederschöneweide_Treptow,Schnellerstr.,31.88,478.2,573.84,1.0,1.0,raised_ground_floor,
Biesdorf_Marzahn,Buckower Ring,29.14,313.4,397.38,1.0,1.0,apartment,1983.0
Marzahn,Ludwig-Renn-Stra&szlig;e,36.22,325.98,416.53,1.0,3.0,apartment,2019.0
Wedding,Soldiner Str.,83.56,1086.0,1296.0,2.0,4.0,apartment,
Wedding,no_information,58.8,800.0,965.0,2.0,3.0,apartment,1904.0
Marzahn,M&auml;rkische Allee,89.61,883.2,1121.88,3.0,10.0,maisonette,1996.0
Friedrichshain,no_information,68.0,1100.0,1310.0,2.0,4.0,apartment,
Charlottenburg,Kaiserdamm,57.35,502.2,650.0,2.0,,ground_floor,1900.0
Mitte,Boyenstra&szlig;e,115.6,1965.2,2312.0,4.0,,,2018.0
Grünau_Köpenick,Waldkiefernring,103.02,1349.0,1637.0,4.0,,ground_floor,2014.0
Wilmersdorf,N&uuml;rnbergerstra&szlig;e,40.0,800.0,1120.0,1.0,10.0,penthouse,1961.0
Mitte,Leipziger Platz,113.5,2043.0,2667.25,2.0,3.0,terraced_flat,2015.0
Mitte,Boyenstra&szlig;e,75.98,1253.67,1481.61,2.0,0.0,ground_floor,2013.0
Spandau,Sch&ouml;nwalder Stra&szlig;e,34.0,399.0,449.0,1.0,0.0,ground_floor,1904.0
Tiergarten,Genthiner Str.,60.0,1265.0,1445.0,2.0,3.0,apartment,2019.0
Tempelhof,Alt Tempelhof,73.54,1011.0,1236.0,3.0,1.0,apartment,1880.0
Prenzlauer_Berg_Prenzlauer_Berg,Stra&szlig;burger Stra&szlig;e,120.89,1675.04,1903.04,4.0,,apartment,2015.0
Prenzlauer_Berg_Prenzlauer_Berg,Ueckerm&uuml;nder Str.,58.48,1550.0,1550.0,2.0,2.0,apartment,1900.0
Alt_Hohenschönhausen_Hohenschönhausen,Plauener Stra&szlig;e,8.65,899.33,1119.33,3.0,2.0,apartment,1998.0
Friedrichsfelde_Lichtenberg,Alfred-Kowalke-Str.,49.55,792.0,922.0,2.0,0.0,ground_floor,2019.0
Friedrichshain,Warschauer Stra&szlig;e,65.27,1044.32,1253.19,1.0,5.0,roof_storey,1900.0
Niederschöneweide_Treptow,Bruno-B&uuml;rgel-Weg,71.64,752.0,,2.0,2.0,apartment,1919.0
Spandau,no_information,73.6,925.0,1120.0,3.0,3.0,apartment,1900.0
Karow_Weißensee,Strasse 43,84.87,749.0,999.0,3.0,1.0,apartment,1993.0
Schöneberg,Else-Lasker-Sch&uuml;ler-Str.,110.97,1729.0,2046.0,3.0,5.0,,2018.0
Tegel_Reinickendorf,no_information,45.59,500.0,577.0,1.0,1.0,apartment,1900.0
Karow_Weißensee,M&uuml;nchehagenstr.,58.95,518.81,715.86,2.0,,roof_storey,1998.0
Mitte,Gartenstra&szlig;e,62.0,1240.0,1518.0,2.0,1.0,apartment,2015.0
Tiergarten,Heidestra&szlig;e,101.52,2131.92,2436.48,3.0,4.0,maisonette,2019.0
Wilmersdorf,Emser Stra&szlig;e,50.0,1000.0,1250.0,2.0,,,
Tiergarten,Br&uuml;der-Grimm-Gasse,125.46,1990.0,2555.0,3.0,7.0,apartment,1998.0
Wilmersdorf,Konstanzer Str,104.1,1665.6,1977.9,2.0,5.0,roof_storey,1912.0
Schöneberg,Kufsteiner Str.,68.63,1095.0,1300.0,3.0,4.0,apartment,2019.0
Mitte,no_information,92.2,1810.0,2040.0,3.0,6.0,apartment,2019.0
Friedrichshain,Koppenstr.,71.67,1025.0,1245.0,2.0,1.0,apartment,1904.0
Spandau,Zeppelinstr.,58.46,461.25,699.42,1.5,0.0,ground_floor,1926.0
Reinickendorf,Bieler Str.,56.3,475.57,678.71,2.0,1.0,apartment,1931.0
Schöneberg,Goltzstra&szlig;e,60.0,1260.0,,2.0,5.0,roof_storey,1900.0
Kreuzberg,Skalitzer Strasse,143.0,2250.0,2600.0,3.5,1.0,apartment,
Neukölln,Harzer Stra&szlig;e,110.0,1700.0,1950.0,3.0,4.0,,
Spandau,Pionierstr.,65.74,627.69,851.34,2.0,1.0,apartment,1994.0
Oberschöneweide_Köpenick,Pl&ouml;nzeile,65.84,628.77,798.81,2.0,4.0,apartment,1915.0
Neu_Hohenschönhausen_Hohenschönhausen,Wartenberger Stra&szlig;e,76.44,840.0,1060.0,3.0,,ground_floor,2019.0
Lichterfelde_Steglitz,Drakestra&szlig;e,48.91,684.74,818.75,1.5,3.0,apartment,1978.0
Tiergarten,Perleberger Str.,50.0,546.0,611.0,2.0,2.0,apartment,1885.0
Charlottenburg,Ahornallee,78.49,589.31,778.31,2.0,0.0,apartment,1976.0
Charlottenburg,no_information,65.0,1200.0,1450.0,2.0,4.0,apartment,
Adlershof_Treptow,no_information,59.9,580.0,730.0,2.0,1.0,raised_ground_floor,
Neukölln,Allerstra&szlig;e,53.38,1100.0,1250.0,2.0,,ground_floor,1910.0
Tempelhof,Burgemeisterstra&szlig;e,39.38,649.0,779.0,1.0,3.0,apartment,1954.0
Wilmersdorf,Prinzregentenstr.,63.0,594.0,789.0,2.0,5.0,apartment,1961.0
Wittenau_Reinickendorf,Avenue Charles de Gaulle,77.7,706.0,971.0,2.0,1.0,apartment,1978.0
Neu_Hohenschönhausen_Hohenschönhausen,Ribnitzer Str.,32.5,254.65,332.13,1.0,5.0,apartment,1986.0
Kreuzberg,no_information,26.83,783.73,850.0,1.0,5.0,roof_storey,1900.0
Marzahn,Fl&auml;mingstra&szlig;e,70.0,714.0,875.0,3.0,5.0,apartment,2019.0
Steglitz,Lacknerstra&szlig;e,117.0,1872.0,2047.0,4.0,,raised_ground_floor,
Schöneberg,Bozener Str.,119.18,1788.0,2107.0,5.0,0.0,apartment,1910.0
Friedrichshain,Stralauer Platz,78.22,1740.4,1935.95,3.0,10.0,apartment,2018.0
Neu_Hohenschönhausen_Hohenschönhausen,Wartenberger Stra&szlig;e,115.41,1235.0,1565.0,5.0,2.0,apartment,2019.0
Baumschulenweg_Treptow,Behringstra&szlig;e,102.0,913.0,1118.0,3.0,2.0,apartment,1905.0
Schmargendorf_Wilmersdorf,Cunostra&szlig;e,48.0,576.0,696.0,1.5,1.0,raised_ground_floor,1957.0
Karow_Weißensee,Hofzeichendamm,71.55,787.05,994.91,3.0,2.0,apartment,
Köpenick,Mandrellaplatz,100.44,1040.0,1240.0,4.0,4.0,roof_storey,1905.0
Charlottenburg,Witzlebenstr.,59.11,592.0,,2.0,2.0,apartment,1918.0
Waidmannslust_Reinickendorf,Titiseestr.,41.0,349.0,479.0,1.0,3.0,apartment,1968.0
Lichtenberg,no_information,177.0,2786.39,3300.0,5.0,4.0,apartment,2014.0
Neu_Hohenschönhausen_Hohenschönhausen,Grevesm&uuml;hlener,64.29,670.0,750.0,3.0,6.0,apartment,1988.0
Buckow_Neukölln,Alt-Buckow,80.0,859.0,1079.0,3.0,2.0,roof_storey,
Friedrichshagen_Köpenick,Breestpromenade,92.66,1111.0,1315.0,3.0,3.0,,
Charlottenburg,Spandauer Damm,77.8,850.0,999.0,2.0,4.0,apartment,1900.0
Staaken_Spandau,Metropolitan Park,76.0,790.0,1110.0,2.0,0.0,terraced_flat,1935.0
Prenzlauer_Berg_Prenzlauer_Berg,Christinenstra&szlig;e,39.94,670.0,795.0,1.0,0.0,raised_ground_floor,1862.0
Prenzlauer_Berg_Prenzlauer_Berg,no_information,68.0,820.0,970.0,2.0,,raised_ground_floor,
Schöneberg,Viktoria-Luise-Platz,95.67,861.03,1114.93,3.0,7.0,other,1991.0
Wedding,Wollankstr.,74.0,749.0,934.0,3.0,3.0,apartment,1969.0
Neukölln,Glasower Stra&szlig;e,88.0,1590.0,1936.0,3.0,3.0,apartment,2019.0
Lichtenrade_Tempelhof,Kloster-Zinna-Str.,67.61,621.33,695.33,2.0,0.0,apartment,1974.0
Marzahn,Poelchaustr.,69.14,563.7,748.51,3.0,10.0,apartment,1980.0
Biesdorf_Marzahn,Eugen-Roth-Weg,76.49,764.14,955.36,3.0,3.0,apartment,2018.0
Alt_Hohenschönhausen_Hohenschönhausen,G&auml;rtnerstr.,81.9,900.0,1108.0,3.0,4.0,apartment,1995.0
Hellersdorf,Kastanienallee,35.69,449.0,538.0,1.0,4.0,apartment,1985.0
Mitte,Zimmerstra&szlig;e,147.64,3499.07,3879.17,4.0,5.0,apartment,2018.0
Weißensee,Brauhausstr.,88.29,876.0,1116.0,3.0,4.0,,1998.0
Niederschöneweide_Treptow,Britzer Stra&szlig;e,97.31,1160.0,1380.0,3.0,3.0,apartment,1918.0
Weißensee,N&uuml;&szlig;lerstra&szlig;e,23.0,460.0,550.0,1.0,,apartment,1983.0
Baumschulenweg_Treptow,Kiefholzstra&szlig;e,93.64,1016.0,1342.0,3.0,,ground_floor,1904.0
Friedrichshain,no_information,106.6,2700.0,3200.0,2.0,6.0,apartment,2014.0
Kreuzberg,no_information,75.0,1200.0,1500.0,2.0,1.0,apartment,
Kreuzberg,no_information,49.67,1241.75,1366.75,2.0,2.0,apartment,1918.0
Mitte,no_information,54.6,789.0,889.0,2.0,3.0,other,1900.0
Oberschöneweide_Köpenick,Tabbertstra&szlig;e,29.1,480.15,568.35,1.0,4.0,apartment,2017.0
Mariendorf_Tempelhof,K&ouml;nigstr.,133.71,1263.43,1571.43,3.0,,roof_storey,1900.0
Wedding,Soldiner Stra&szlig;e,50.0,549.0,689.0,2.0,0.0,apartment,1891.0
Reinickendorf,Residenzstra&szlig;e,70.0,805.0,899.0,2.0,4.0,roof_storey,1900.0
Tegel_Reinickendorf,Schlieper Stra&szlig;e,150.0,1500.0,1730.0,3.0,4.0,roof_storey,2018.0
Siemensstadt_Spandau,Schwiegersteig,51.8,499.0,661.0,2.0,2.0,apartment,1930.0
Prenzlauer_Berg_Prenzlauer_Berg,Lichtburgring,71.84,1050.0,,2.0,3.0,apartment,2015.0
Reinickendorf,Emmentaler Str.,104.0,876.4,1024.38,3.0,,ground_floor,1919.0
Friedrichshain,Simon-Dach-Str.,51.0,1100.0,1350.0,2.0,3.0,,1900.0
Schöneberg,Wexstra&szlig;e,23.8,545.0,,1.0,4.0,,
Adlershof_Treptow,Nipkowstrasse,56.0,800.0,1000.0,2.0,2.0,apartment,2019.0
Biesdorf_Marzahn,Fortunaallee,63.2,858.0,1041.0,2.0,0.0,apartment,2019.0
Johannisthal_Treptow,Herrenhausstra&szlig;e,62.34,600.0,820.0,2.0,3.0,apartment,1996.0
Neukölln,Sonnenallee,89.0,1201.5,1481.5,3.0,5.0,roof_storey,1902.0
Spandau,Eiswerderstra&szlig;e,278.03,1890.6,2516.15,6.0,1.0,apartment,1875.0
Friedrichshain,Rigaer Stra&szlig;e,112.32,1544.4,1874.21,4.0,,apartment,2019.0
Oberschöneweide_Köpenick,Tabbertstra&szlig;e,32.09,449.26,545.53,1.0,0.0,ground_floor,
Schöneberg,Gustav-M&uuml;ller-Platz,100.52,1999.0,2269.0,4.0,4.0,roof_storey,1900.0
Schöneberg,Kurf&uuml;rstenstr.,75.62,1285.0,1504.0,2.0,2.0,apartment,2018.0
Prenzlauer_Berg_Prenzlauer_Berg,Stahlheimer Stra&szlig;e,49.0,550.0,950.0,2.0,1.0,raised_ground_floor,1928.0
Steglitz,Stephanstra&szlig;e,56.0,850.0,1050.0,2.0,3.0,apartment,1961.0
Lichtenberg,Weitlingstr.,86.0,999.0,1149.0,3.0,1.0,apartment,1914.0
Buckow_Neukölln,Angelikaweg,50.0,505.0,760.0,2.0,2.0,,1973.0
Köpenick,no_information,82.88,911.68,1118.88,3.0,1.0,apartment,2019.0
Kreuzberg,Urbanstra&szlig;e,76.0,1224.0,1482.0,3.0,1.0,,1907.0
Weißensee,no_information,90.0,1550.0,1695.0,3.0,,roof_storey,1900.0
Charlottenburg,Kantstr.,52.87,707.0,820.0,1.0,2.0,other,1900.0
Frohnau_Reinickendorf,Merlinweg,71.16,862.46,1057.45,2.0,3.0,roof_storey,1993.0
Friedrichshain,Stralauer Allee,68.0,1208.0,1477.0,2.0,4.0,,
Spandau,P&auml;wesiner Weg,32.4,394.0,469.0,1.0,,raised_ground_floor,1960.0
Charlottenburg,Niebuhrstra&szlig;e,163.05,2365.0,,4.0,1.0,apartment,1900.0
Britz_Neukölln,Britzer Damm,36.0,246.55,309.55,1.0,1.0,apartment,2000.0
Friedrichshain,Sonntagstra&szlig;e,96.54,1500.0,1800.0,3.5,1.0,apartment,2012.0
Marienfelde_Tempelhof,Malteserstr.,26.0,494.0,552.5,1.0,,,2019.0
Marzahn,Liebensteiner Str.,68.0,420.53,,3.0,5.0,apartment,1983.0
Schöneberg,K&auml;rntener Stra&szlig;e,86.0,1118.0,1323.0,2.0,1.0,apartment,1900.0
Spandau,Rauchstr.,78.23,626.0,861.0,3.0,2.0,apartment,1999.0
Schöneberg,Beckerstra&szlig;e,165.0,2970.0,3300.0,4.0,4.0,roof_storey,2018.0
Alt_Hohenschönhausen_Hohenschönhausen,K&uuml;striner Stra&szlig;e,44.0,448.8,548.59,2.0,1.0,ground_floor,2018.0
Spandau,Kurstra&szlig;e,76.89,790.0,910.0,2.0,4.0,roof_storey,1908.0
Kreuzberg,K&ouml;rtestra&szlig;e,49.62,777.0,,1.5,3.0,apartment,1890.0
Spandau,no_information,85.41,899.37,1091.37,2.5,1.0,apartment,1907.0
Wilmersdorf,Nestorstra&szlig;e,34.0,283.25,403.25,1.0,5.0,apartment,1958.0
Neukölln,Glasower Stra&szlig;e,71.15,1280.7,1558.7,2.0,1.0,apartment,2019.0
Wedding,Koloniestr.,20.0,500.0,610.0,1.0,,apartment,2018.0
Charlottenburg,Roscherstr.,71.0,995.0,1295.0,2.0,0.0,ground_floor,1962.0
Spandau,Pichelsdorfer Str.,76.94,730.0,959.0,3.0,2.0,apartment,1875.0
Lichterfelde_Steglitz,no_information,46.0,644.0,764.0,1.0,1.0,apartment,
Lichterfelde_Steglitz,Ortlerweg,53.1,542.15,734.15,2.0,1.0,apartment,1998.0
Mitte,Claire-Waldoff-Strasse,116.0,2250.0,2550.0,3.0,2.0,apartment,2020.0
Prenzlauer_Berg_Prenzlauer_Berg,no_information,121.4,1821.0,,3.0,2.0,apartment,
Friedrichsfelde_Lichtenberg,Gensinger Str.,55.1,539.59,688.85,2.0,9.0,apartment,1979.0
Tiergarten,Invalidenstra&szlig;e H,157.0,3600.0,4065.0,5.0,4.0,apartment,2019.0
Hellersdorf,Stollberger Str.,79.17,712.53,957.24,4.0,1.0,apartment,1992.0
Friedrichshagen_Köpenick,no_information,170.0,1850.0,2230.0,6.0,2.0,apartment,1903.0
Prenzlauer_Berg_Prenzlauer_Berg,D&auml;nenstra&szlig;e,42.72,485.0,565.0,1.0,2.0,apartment,1915.0
Johannisthal_Treptow,Vereinsstra&szlig;e,49.33,550.0,670.0,2.0,2.0,apartment,1950.0
Friedrichsfelde_Lichtenberg,Mellenseestr.,62.0,565.0,725.0,2.0,0.0,ground_floor,1971.0
Neu_Hohenschönhausen_Hohenschönhausen,Zingster Str.,86.47,492.88,669.15,3.0,9.0,apartment,1986.0
Friedrichshain,Stralauer Allee,59.0,1130.0,1400.0,2.0,2.0,apartment,2016.0
Reinickendorf,Reginhardstr.,56.0,600.0,,2.0,1.0,apartment,1908.0
Tiergarten,Linkstra&szlig;e,15.0,890.0,940.0,1.0,4.0,apartment,
Grunewald_Wilmersdorf,Bismarckallee,163.0,3097.0,3547.0,4.0,0.0,maisonette,1988.0
Adlershof_Treptow,no_information,96.0,1250.0,1442.0,3.0,3.0,apartment,1908.0
Britz_Neukölln,Johannisthaler Chaussee,73.3,565.73,752.76,2.0,8.0,apartment,1965.0
Hellersdorf,Quedlinburger Str.,62.47,497.89,709.54,3.0,0.0,ground_floor,1988.0
Spandau,Westerwaldstr.,59.5,414.12,655.63,2.0,2.0,apartment,1965.0
Hellersdorf,Michendorfer Stra&szlig;e,37.93,303.44,398.26,1.0,4.0,apartment,1989.0
Reinickendorf,Winterstra&szlig;e,42.52,261.92,355.46,1.0,,ground_floor,1958.0
Charlottenburg,Kantstra&szlig;e,159.25,2389.0,2589.0,4.0,2.0,apartment,1894.0
Köpenick,Gr&uuml;nauer Stra&szlig;e,40.81,429.9,498.9,2.0,,ground_floor,1995.0
Wedding,Luxemburger Stra&szlig;e,79.97,760.0,950.0,2.0,4.0,apartment,1900.0
Siemensstadt_Spandau,no_information,90.0,824.0,999.0,3.0,4.0,maisonette,1924.0
Staaken_Spandau,Metropolitan Park,107.0,1199.0,1398.0,3.5,1.0,other,
Pankow,Thulestra&szlig;e,40.0,600.0,705.0,1.0,2.0,apartment,1890.0
Karow_Weißensee,Busonistr.,60.37,552.0,698.0,2.0,,apartment,1996.0
Wilmersdorf,Wexstra&szlig;e,19.0,428.0,523.0,1.0,,apartment,
Reinickendorf,Aroser Allee,38.98,654.0,760.0,1.0,1.0,apartment,1925.0
Spandau,Kulbeweg,67.78,500.0,685.0,2.0,4.0,apartment,1995.0
Steglitz,Selerweg,71.55,1144.8,1341.77,2.0,5.0,terraced_flat,2019.0
Prenzlauer_Berg_Prenzlauer_Berg,Werner-Kube-Str.,60.0,780.0,980.0,3.0,3.0,apartment,1937.0
Friedrichshain,no_information,35.0,599.55,689.55,1.0,3.0,other,1914.0
Niederschönhausen_Pankow,Wackenbergstr.,69.77,837.24,1032.24,3.0,3.0,apartment,1996.0
Prenzlauer_Berg_Prenzlauer_Berg,Heinrich-Roller-Str.,41.95,635.0,732.0,1.0,2.0,apartment,1900.0
Alt_Hohenschönhausen_Hohenschönhausen,Wartenberger Str.,68.0,421.09,619.5,3.0,2.0,apartment,1973.0
Mitte,Stallschreiber Stra&szlig;e,76.6,1962.0,2269.2,3.0,5.0,apartment,2019.0
Oberschöneweide_Köpenick,Ostendstra&szlig;e,11.0,399.0,499.0,1.0,4.0,apartment,2018.0
Tiergarten,Stendaler Str.,44.2,870.0,1010.0,1.0,,ground_floor,1900.0
Adlershof_Treptow,Rudower Chaussee,34.14,699.0,820.0,1.0,,other,2016.0
Grünau_Köpenick,no_information,76.1,951.25,1065.4,2.0,2.0,roof_storey,2019.0
Wilmersdorf,no_information,95.0,1900.0,1900.0,2.0,1.0,ground_floor,
Mitte,no_information,87.0,1900.0,2200.0,4.0,1.0,,2013.0
Mitte,Zehdenicker Stra&szlig;e,214.46,4820.0,5250.0,4.0,5.0,penthouse,2014.0
Spandau,Plantage,131.26,1246.97,1626.97,4.0,3.0,,
Tempelhof,Tempelhofer Damm,73.12,1097.0,1341.0,3.0,1.0,apartment,1890.0
Marzahn,Max-Herrmann-Str.,62.54,496.38,687.62,3.0,15.0,apartment,1985.0
Tiergarten,Potsdamer Str.,104.39,1318.44,1571.44,4.0,4.0,apartment,1900.0
Spandau,Falkenseer Chaussee,40.1,401.0,522.0,1.0,13.0,apartment,1967.0
Oberschöneweide_Köpenick,Firlstr.,68.9,725.52,,2.0,,,
Hellersdorf,Zossener Str.,68.54,629.0,796.0,3.0,5.0,apartment,1985.0
Wedding,Luxemburger Stra&szlig;e,77.88,795.0,1005.0,2.0,5.0,roof_storey,1900.0
Charlottenburg,clausewitzstr,136.44,2630.0,2900.0,4.0,2.0,apartment,1900.0
Mitte,Tucholskystr.,107.5,1985.0,2480.0,3.0,4.0,,2002.0
Buckow_Neukölln,Parksiedlung Spruch,63.09,600.62,889.64,2.0,12.0,apartment,1996.0
Wilmersdorf,S&auml;chsische Strasse,227.0,7500.0,,5.0,5.0,roof_storey,2016.0
Tiergarten,Heidestra&szlig;e,80.73,1404.7,1646.89,3.0,0.0,ground_floor,2019.0
Kreuzberg,Gneisenaustra&szlig;e,144.0,2448.0,2818.0,4.0,5.0,apartment,1864.0
Mitte,Sch&uuml;tzenstr.,69.0,1346.0,1650.0,3.0,4.0,apartment,2016.0
Schöneberg,Alvenslebenstra&szlig;e,66.0,1200.0,1350.0,2.0,3.0,apartment,
Spandau,no_information,174.2,1566.0,1766.0,5.0,1.0,apartment,1904.0
Mitte,Linienstra&szlig;e,17.0,1010.0,1060.0,1.0,4.0,apartment,
Biesdorf_Marzahn,Buckower Ring,74.85,486.53,702.24,3.0,6.0,apartment,1982.0
Köpenick,Lindenstr.,100.0,1165.0,1445.0,3.0,2.0,apartment,2014.0
Tiergarten,Lehrter Stra&szlig;e,105.0,1880.0,2175.0,4.0,7.0,apartment,2018.0
Tiergarten,Heidestra&szlig;e,92.58,1884.0,2161.74,4.0,3.0,apartment,2019.0
Steglitz,no_information,232.0,2400.0,2900.0,6.0,,roof_storey,
Reinickendorf,Septimerstr.,32.52,450.0,537.0,1.0,0.0,ground_floor,1959.0
Köpenick,no_information,49.2,738.0,880.0,2.0,4.0,apartment,2019.0
Dahlem_Zehlendorf,no_information,300.0,6000.0,7000.0,7.0,3.0,penthouse,2012.0
Spandau,J&auml;gerstra&szlig;e,63.0,619.0,729.0,2.0,1.0,apartment,1952.0
Schmargendorf_Wilmersdorf,no_information,364.0,12000.0,15500.0,4.0,3.0,penthouse,2008.0
Friedrichshagen_Köpenick,Dreiserstra&szlig;e,85.0,807.5,977.5,2.0,1.0,ground_floor,1908.0
Charlottenburg,Kantstra&szlig;e,42.0,499.0,629.0,2.0,3.0,apartment,1918.0
Buch_Pankow,P&ouml;lnitzweg,157.58,1267.4,,4.0,2.0,apartment,1939.0
Tiergarten,no_information,55.0,1400.0,1400.0,1.5,,roof_storey,
Schöneberg,Lindauer Stra&szlig;e,96.0,1687.88,1919.36,3.0,4.0,apartment,2019.0
Niederschöneweide_Treptow,Flutstra&szlig;e,86.47,1301.01,1600.0,2.0,5.0,roof_storey,2019.0
Tiergarten,Klara Franke Strasse,18.0,780.0,830.0,1.0,6.0,apartment,
Lichtenberg,Emanuelstr.,61.0,699.0,859.0,2.0,4.0,apartment,1914.0
Reinickendorf,Provinzstra&szlig;e,117.04,1400.0,1668.0,4.0,1.0,apartment,1910.0
Waidmannslust_Reinickendorf,no_information,48.75,673.0,823.0,2.0,1.0,other,2017.0
Haselhorst_Spandau,Gartenfelder Str.,57.87,481.25,659.25,3.0,1.0,apartment,1931.0
Köpenick,Gr&uuml;nauer Stra&szlig;e,72.68,709.0,859.9,3.0,,ground_floor,1992.0
Weißensee,no_information,39.2,432.0,530.0,1.0,4.0,apartment,1910.0
Frohnau_Reinickendorf,no_information,95.0,1040.0,1190.0,3.0,1.0,apartment,1968.0
Charlottenburg,Zillestr.,169.78,2400.0,2910.0,4.5,0.0,maisonette,2018.0
Buckow_Neukölln,Marienfelder Chaussee,37.0,310.0,420.0,1.0,2.0,apartment,1963.0
Tiergarten,Am Karlsbad,96.84,1249.0,1532.0,2.0,1.0,,2008.0
Tempelhof,Friedrich-Karl-Stra&szlig;e,30.0,894.0,1014.0,1.0,2.0,apartment,
Marzahn,B&auml;rensteinstr.,62.23,440.17,648.27,2.0,10.0,apartment,1980.0
Tiergarten,Hilda-Geiringer-Weg H,103.0,1900.0,2207.0,3.0,1.0,apartment,2019.0
Mitte,Otto-Braun Strasse,34.0,1790.0,1790.0,2.0,,,2013.0
Adlershof_Treptow,Rudower Chaussee,24.0,492.0,546.0,1.0,,other,2016.0
Tiergarten,Lehrter Stra&szlig;e,63.37,1077.29,1381.4,2.0,4.0,apartment,
Oberschöneweide_Köpenick,Nalepastr.,47.83,439.19,587.34,2.0,0.0,apartment,1958.0
